,song,artist,sum,count,lastfm_count
306,Fire And Rain,James Taylor,332,16,1511300.0
307,The Twist,Hank Ballard And The Midnighters,840,16,1127.0
308,One,Three Dog Night,381,16,314382.0
309,Better Tell Him No,The Starlets,936,16,936.0
310,Let's Hang On!,The 4 Seasons Featuring the Sound of Frankie Valli,313,16,0.0
311,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,516,16,1670.0
312,"The Rain, The Park & Other Things",The Cowsills,365,16,68748.0
313,Big Girls Don't Cry,The 4 Seasons,210,16,60959.0
314,Arizona,Mark Lindsay,553,16,29421.0
315,Three Hearts In A Tangle,Roy Drusky,1064,16,6623.0
316,Green Onions,Booker T. & The MG's,447,16,1506229.0
317,Judy In Disguise (With Glasses),John Fred And The Playboys,355,16,236053.0
318,Just Ask Your Heart,Frankie Avalon,529,16,11080.0
319,Wheels,The String-A-Longs,377,16,19040.0
320,Forget Him,Bobby Rydell,466,16,31173.0
321,B-A-B-Y,Carla Thomas,630,16,181796.0
322,Grazing In The Grass,The Friends Of Distinction,447,16,90740.0
323,Let There Be Drums,Sandy Nelson,478,16,54363.0
324,Ooh Poo Pah Doo - Part II,Jessie Hill,876,16,44.0
325,Only You,Franck Pourcel's French Fiddles,535,16,9482.0
326,Come Together/Something,The Beatles,178,16,13.0
327,My Dad,Paul Petersen,528,16,1790.0
328,Wild One,Bobby Rydell,321,16,57565.0
329,Harbor Lights,The Platters,514,16,41661.0
330,('Til) I Kissed You,The Everly Brothers,328,16,60520.0
331,Teen Beat,Sandy Nelson,408,16,38235.0
332,Spanish Harlem,Ben E. King,569,16,232012.0
333,You Were Mine,Fireflies,649,16,3477.0
334,Manhattan Spiritual,Reg Owen & His Orchestra,452,16,712.0
335,Taste Of Honey,Herb Alpert & The Tijuana Brass,439,16,21692.0
336,Something's Burning,Kenny Rogers & The First Edition,518,16,8022.0
337,Someday We'll Be Together,Diana Ross & The Supremes,215,16,178556.0
338,Diamonds And Pearls,The Paradons,819,16,7185.0
339,I Got Stung,Elvis Presley,451,16,124080.0
340,You Cheated,The Shields,712,16,16232.0
341,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,620,16,15971.0
342,Mary Lou,Ronnie Hawkins and The Hawks,822,16,1170.0
343,So Many Ways,Brook Benton,407,16,12710.0
344,So Fine,The Fiestas,526,16,27601.0
345,Snowbird,Anne Murray,527,16,82980.0
346,Wooden Heart,Joe Dowell,444,16,9790.0
347,Dirty Water,The Standells,683,16,150063.0
348,Love Is All Around,The Troggs,542,16,333465.0
349,Telstar,The Tornadoes,355,16,25820.0
350,Angel Of The Morning,Merrilee Rush & The Turnabouts,492,16,62427.0
351,Devil With A Blue Dress On & Good Golly Miss Molly,Mitch Ryder And The Detroit Wheels,317,16,3536.0
352,Slip Away,Clarence Carter,571,16,251778.0
